"Unique ID ","Parent","Name","Tier 1 Parent","Tier (1-4)","Important to NBCU","AG NOTES","Additional signals (e.g., objects, scene settings)","Object signals","Scene signals","Example Advertiser Industry","Logo signals","Explicit Triggers","Date Selected",""
"369","338","Soundtracks, TV and Showtunes","Music and Audio","2","N","","","","","","","","",""
"370","338","Sports Radio","Music and Audio","2","N","","","","","","","","",""
"371","338","Talk Radio","Music and Audio","2","N","","","","","","","","",""
"372","371","Business News Radio","Music and Audio","3","N","","","","","","","","",""
"373","371","Educational Radio","Music and Audio","3","N","","","","","","","","",""
"374","371","News Radio","Music and Audio","3","N","","","","","","","","",""
"375","371","News/Talk Radio","Music and Audio","3","N","","","","","","","","",""
"376","371","Public Radio","Music and Audio","3","N","","","","","","","","",""
"377","338","Urban Contemporary Music","Music and Audio","2","N","","","","","","","","",""
"378","338","Variety (Music and Audio)","Music and Audio","2","N","","","","","","","","",""
"379","","News and Politics","News and Politics","1","N","","*News business use case needs to be scoped by NBCU - priority TBD","","news_studio","","","","","OCR"
"380","379","Crime","News and Politics","2","N","","","","","","","","","OCR"
"381","379","Disasters","News and Politics","2","N","","","","","","","","","OCR"
"382","379","International News","News and Politics","2","N","","","","","","","","","OCR"
"383","379","Law","News and Politics","2","N","","","","","","","","","OCR"
"384","379","Local News","News and Politics","2","N","","","","","","","","","OCR"
"385","379","National News","News and Politics","2","N","","","","","","","","","OCR"
"386","379","Politics","News and Politics","2","N","","","","political_event","","","","","OCR"
"387","386","Elections","News and Politics","3","N","","","","","","","","","OCR"
"388","386","Political Issues","News and Politics","3","N","","","","","","","","","OCR"
"389","386","War and Conflicts","News and Politics","3","N","","","","","","","","","military_conflict"
"390","379","Weather","News and Politics","2","N","","","","weather_report","","","","",""
"391","","Personal Finance","Personal Finance","1","N","","","","","","","","",""
"392","391","Consumer Banking","Personal Finance","2","N","","","","","","","","",""
"393","391","Financial Assistance","Personal Finance","2","N","","","","","","","","",""
