materialId,lastRunJob
GMO_00000000007046_01,FILE_MAF_20210728T163638Z_GMO_00000000007046_01
GMO_00000000007061_01,FILE_MAF_20210728T163638Z_GMO_00000000007061_01
GMO_00000000007108_01,FILE_MAF_20210728T163638Z_GMO_00000000007108_01
GMO_00000000007100_01,FILE_MAF_20210728T163639Z_GMO_00000000007100_01
GMO_00000000007132_01,FILE_MAF_20210728T163639Z_GMO_00000000007132_01
GMO_00000000007153_01,FILE_MAF_20210728T163639Z_GMO_00000000007153_01
GMO_00000000007043_01,FILE_MAF_20210728T163640Z_GMO_00000000007043_01
GMO_00000000007141_01,FILE_MAF_20210728T163640Z_GMO_00000000007141_01
GMO_00000000007053_01,FILE_MAF_20210728T163740Z_GMO_00000000007053_01
GMO_00000000007105_01,FILE_MAF_20210728T163741Z_GMO_00000000007105_01
GMO_00000000007145_01,FILE_MAF_20210728T163741Z_GMO_00000000007145_01
GMO_00000000007169_01,FILE_MAF_20210728T163741Z_GMO_00000000007169_01
GMO_00000000007058_01,FILE_MAF_20210728T163742Z_GMO_00000000007058_01
GMO_00000000007081_01,FILE_MAF_20210728T163742Z_GMO_00000000007081_01
GMO_00000000007118_01,FILE_MAF_20210728T163742Z_GMO_00000000007118_01
GMO_00000000007114_01,FILE_MAF_20210728T163743Z_GMO_00000000007114_01
GMO_00000000007119_01,FILE_MAF_20210728T163743Z_GMO_00000000007119_01
GMO_00000000007135_01,FILE_MAF_20210728T163743Z_GMO_00000000007135_01
GMO_00000000007155_01,FILE_MAF_20210728T163743Z_GMO_00000000007155_01
GMO_00000000007122_01,FILE_MAF_20210728T163744Z_GMO_00000000007122_01
GMO_00000000007136_01,FILE_MAF_20210728T163744Z_GMO_00000000007136_01
GMO_00000000007138_01,FILE_MAF_20210728T163744Z_GMO_00000000007138_01
GMO_00000000007139_01,FILE_MAF_20210728T163745Z_GMO_00000000007139_01
GMO_00000000007152_01,FILE_MAF_20210728T163745Z_GMO_00000000007152_01
GMO_00000000007172_01,FILE_MAF_20210728T163745Z_GMO_00000000007172_01
GMO_00000000001726_01,FILE_MAF_20210728T172451Z_GMO_00000000001726_01
GMO_00000000001676_01,FILE_MAF_20210728T173253Z_GMO_00000000001676_01
GMO_00000000353264_01,FILE_MAF_20211221T214015Z_GMO_00000000353264_01
GMO_00000000001790_01,FILE_MAF_20210728T173855Z_GMO_00000000001790_01
GMO_00000000001841_01,FILE_MAF_20210728T175757Z_GMO_00000000001841_01
GMO_00000000007174_01,FILE_MAF_20210728T181500Z_GMO_00000000007174_01
GMO_00000000007203_01,FILE_MAF_20210728T181500Z_GMO_00000000007203_01
GMO_00000000007182_01,FILE_MAF_20210728T181501Z_GMO_00000000007182_01
GMO_00000000007200_01,FILE_MAF_20210728T181501Z_GMO_00000000007200_01
GMO_00000000007235_01,FILE_MAF_20210728T181501Z_GMO_00000000007235_01
GMO_00000000007186_01,FILE_MAF_20210728T181502Z_GMO_00000000007186_01
GMO_00000000007220_01,FILE_MAF_20210728T181502Z_GMO_00000000007220_01
GMO_00000000007254_01,FILE_MAF_20210728T181502Z_GMO_00000000007254_01
GMO_00000000007187_01,FILE_MAF_20210728T181503Z_GMO_00000000007187_01
GMO_00000000007197_01,FILE_MAF_20210728T181503Z_GMO_00000000007197_01
GMO_00000000007198_01,FILE_MAF_20210728T181503Z_GMO_00000000007198_01
GMO_00000000007201_01,FILE_MAF_20210728T181503Z_GMO_00000000007201_01
GMO_00000000007191_01,FILE_MAF_20210728T181504Z_GMO_00000000007191_01
GMO_00000000007212_01,FILE_MAF_20210728T181504Z_GMO_00000000007212_01
GMO_00000000007217_01,FILE_MAF_20210728T181504Z_GMO_00000000007217_01
GMO_00000000007224_01,FILE_MAF_20210728T181505Z_GMO_00000000007224_01
GMO_00000000007230_01,FILE_MAF_20210728T181505Z_GMO_00000000007230_01
GMO_00000000007249_01,FILE_MAF_20210728T181505Z_GMO_00000000007249_01
GMO_00000000007313_01,FILE_MAF_20210728T181505Z_GMO_00000000007313_01
GMO_00000000007240_01,FILE_MAF_20210728T181506Z_GMO_00000000007240_01
GMO_00000000007319_01,FILE_MAF_20210728T181506Z_GMO_00000000007319_01
GMO_00000000007335_01,FILE_MAF_20210728T181506Z_GMO_00000000007335_01
GMO_00000000007412_01,FILE_MAF_20210728T185223Z_GMO_00000000007412_01
GMO_00000000007293_01,FILE_MAF_20210728T182308Z_GMO_00000000007293_01
GMO_00000000007199_01,FILE_MAF_20210728T182709Z_GMO_00000000007199_01
GMO_00000000007250_01,FILE_MAF_20210728T182709Z_GMO_00000000007250_01
GMO_00000000007312_01,FILE_MAF_20210728T183009Z_GMO_00000000007312_01
GMO_00000000007207_01,FILE_MAF_20210728T183010Z_GMO_00000000007207_01
GMO_00000000007262_01,FILE_MAF_20210728T183010Z_GMO_00000000007262_01
GMO_00000000007281_01,FILE_MAF_20210728T183010Z_GMO_00000000007281_01
GMO_00000000007241_01,FILE_MAF_20210728T183011Z_GMO_00000000007241_01
GMO_00000000007243_01,FILE_MAF_20210728T183011Z_GMO_00000000007243_01
GMO_00000000007353_01,FILE_MAF_20210728T183011Z_GMO_00000000007353_01
GMO_00000000007247_01,FILE_MAF_20210728T183312Z_GMO_00000000007247_01
GMO_00000000007252_01,FILE_MAF_20210728T183412Z_GMO_00000000007252_01
GMO_00000000007294_01,FILE_MAF_20210728T183412Z_GMO_00000000007294_01
GMO_00000000007415_01,FILE_MAF_20210728T183412Z_GMO_00000000007415_01
GMO_00000000007330_01,FILE_MAF_20210728T183513Z_GMO_00000000007330_01
GMO_00000000007419_01,FILE_MAF_20210728T183613Z_GMO_00000000007419_01
GMO_00000000007266_01,FILE_MAF_20210728T184114Z_GMO_00000000007266_01
GMO_00000000007287_01,FILE_MAF_20210728T184414Z_GMO_00000000007287_01
GMO_00000000007248_01,FILE_MAF_20210728T184514Z_GMO_00000000007248_01
GMO_00000000007317_01,FILE_MAF_20210728T184615Z_GMO_00000000007317_01
GMO_00000000007397_01,FILE_MAF_20220212T194451Z_GMO_00000000007397_01
GMO_00000000007398_01,FILE_MAF_20220212T194614Z_GMO_00000000007398_01
GMO_00000000007265_01,FILE_MAF_20210728T184716Z_GMO_00000000007265_01
GMO_00000000007336_01,FILE_MAF_20210728T184716Z_GMO_00000000007336_01
GMO_00000000007270_01,FILE_MAF_20210728T184717Z_GMO_00000000007270_01
GMO_00000000007292_01,FILE_MAF_20210728T184717Z_GMO_00000000007292_01
GMO_00000000007374_01,FILE_MAF_20210728T184717Z_GMO_00000000007374_01
GMO_00000000007275_01,FILE_MAF_20210728T185218Z_GMO_00000000007275_01
GMO_00000000007333_01,FILE_MAF_20210728T185218Z_GMO_00000000007333_01
GMO_00000000007279_01,FILE_MAF_20210728T185219Z_GMO_00000000007279_01
GMO_00000000007340_01,FILE_MAF_20210728T185219Z_GMO_00000000007340_01
GMO_00000000007343_01,FILE_MAF_20210728T185219Z_GMO_00000000007343_01
